Datum;Naam;Plaats;Afstand;HM;Land;dagen;url
;Crocodile Trophy;Cairns;866;;Australia;9;http://www.crocodile-trophy.com/
10/05/2013;Belgium Mountainbike Challenge;La Roche en Ardenne;250;7500;BE;3;
19/04/2013;Houffalize Open Tours;Houffalize;26-79-80;4032;BE;3;http://www.houffalize-mtb.be/
9/05/2013;LCMT (4 dagen);Stavelot-Houffalize;413;6388;BE;4;
;Transfrontalier;Kortrijk-Liege;333;;BE;3;
;Claro Brasil Ride;Mucugé;565;10000;Bra;6;
29/06/2013;BC Bike Race;Cumberland;335;9370;Can;7;
27/07/2013;Transrockies;Canada;600;12000;Can;7;
21/01/2013;Trans Andes Challenge;Puerto Pirihueico;415;11050;Chili;6;http://www.transandeschallenge.com/
;Ruta de la Conquistadores;Jaco;360;5000;Costa Rica;4;
;Aphrodite Trophy;Tochni;72;;Cyp;;
;Bike Festival Willingen;Willingen;129;3280;D;;http://www.bike-festival-willingen.de/
;Bike Marathon Biesenrode;Biesenrode;77;?;D;;
;Bikemarathon Erfurt;Erfurt;100;2280;D;;
23/06/2013;Black Forest Super Marathon;Kirchzarten;116;3350;D;;http://www.ultra-bike.de/
;Trans Zollernalb;;215;4480;D;3;
;Alb Gold Trophy;Münsingen (Baden-Württemberg);108;1700;D;;
;Albstadt Bike Marathon;Albstadt-Ebingen;86;1600;D;;
;Allersheimer MTB Cup;Hochsolling;106;2000;D;;
;Auerberg Marathon;Kaufbeuren;63;1030;D;;
;Bank 1 Saar Marathon;St Ingbert;100;3000;D;;
;Barbarossa Bike Marathon;Gelnhausen;;;D;;
;Biebergrund Bike Marathon;Roßbach;95;2450;D;;
;Bike Fest Pfronten;Pfronten;70;2600;D;;
;Bikefestival Willingen;Willingen;123;3500;D;;
30/06/2013;Bilstein Bike Marathon;Grobalmerode;106;2600;D;;
23/06/2013;Black forest ultra bike-marathon;Kirchzarten;116;3150;D;;
;Dunsberg Marathon;Biebertal-Hessen;108;2740;D;;
;Erbeskopf bike marathon;Deuselbach;110;3100;D;;
