17/03/2013;The Cape Epic;Capetown;698;15900;SA;8;http://www.cape-epic.com/
;Aletisch Bike Marathon ;Bettmeralp;91;4800;CH;;http://www.aletsch-bikemarathon.ch/
;Bikemarathon Lumnezia;Lumbrein;72;3200;CH;;http://www.bikemarathon-lumnezia.ch/
;Eiger Bike-Challenge;Grindelwald;88;3900;CH;;http://www.eigerbike.ch/
;EKS Goldenrace;Schleitheim-Schaffhausen;83;2600;CH;;http://www.goldenrace.ch/
;Elsa Bike Trophy;Estavayer-Le-Lac;60;1450;CH;;http://www.elsabiketrophy.ch/
20/10/2013;Monte Generoso Marathon;Mendrisio;94;3500;CH;;http://www.momobike.ch/
18/08/2013;Nutrixxion MTB Rally;Rorschach;400;12900;CH;6;http://www.mountain-rally.ch
23/08/2013;Grand Raid Cristalp;Verbier;145;5800;CH;;http://www.grand-raid-cristalp.ch/
31/08/2013;NationalPark Bikemarathon;Scuol;138;4010;CH;;http://www.bike-marathon.com/
21/07/2013;Swiss Bike Masters;Kubis;105;4400;CH;;www.eurobike.ch
